exercise_id,canonical_name,name_es,equipment_type,primary_muscle_group_id,allows_quad_focus,allows_glute_focus,target_section,tension_type,stability_type,biomechanical_bias,movement_pattern,role,fatigue_cost,joint_stress,substitution_group,secondary_muscles,curation_notes
3986ec55-d776-4c34-8fa1-a9894d6b1557,abductor_machine,Abductores en Máquina,machine,12,False,False,glute_medius,shortened,high_external,shortened,hip_abduction,isolation,low,hip,hip_abduction_abductors,glutes,
0e3d96b2-762f-4d1c-8a1c-0ae2b6d835b0,around_the_worlds,Around the Worlds (Hombro Lateral/Pecho),dumbbell,3,False,False,shoulders_lateral,,low_external,mid-range,shoulder_abduction,finisher,low,shoulder,shoulder_abduction_raise,chest;shoulders,Ambiguous hybrid chest/shoulder exercise; mapped to shoulder_abduction because target_section is shoulders_lateral.
0fddea53-0259-4398-b92a-0a0dda49ab49,assisted_pullup_wide,Dominadas Asistidas Agarre Ancho,machine,4,False,False,back_width,,high_external,mid-range,vertical_pull,primary_accessory,medium,shoulder;elbow,vertical_pull_back,biceps;shoulders,
a4ba98b0-dafc-4952-b4bf-81599643732f,barbell_overhead_press,Press Militar con Barra,barbell,5,False,False,shoulders_front,mid-range,low_external,mid-range,vertical_push,anchor,high,shoulder;elbow;lumbar,vertical_push_shoulders,triceps;chest,
cf56a869-969e-48d8-a172-46c89acfa983,barbell_squat,Sentadilla con Barra,barbell,1,True,True,quads_glute,stretch,low_external,mid-range,squat,anchor,high,knee;hip;lumbar;ankle,squat_quad_glute,glutes;hamstrings,
b6ab2135-4435-4055-b171-1326dec3e2b5,bayesian_curl,Curl Bayesian (Polea tras espalda),cable,6,False,False,biceps_long_head,stretch,high_external,mid-range,elbow_flexion,isolation,low,elbow;shoulder;wrist,biceps_curl,forearms,
46d1376b-463c-40d9-a656-fd5d026bc6d8,bench_dips_triceps,Fondos en Banco (Tríceps),bodyweight,7,False,False,triceps,,low_external,mid-range,elbow_extension,secondary_accessory,medium,shoulder;elbow;wrist,triceps_extension_bodyweight,chest;shoulders,Shoulder extension stress can be high; avoid for shoulder pain.
bfac9d50-179b-461e-bba3-1e87a49094d0,bench_press,Press de Banca,barbell,3,False,False,chest_medial,stretch,low_external,mid-range,horizontal_push,anchor,high,shoulder;elbow;wrist,horizontal_press_chest,triceps;shoulders,
9689f605-f8fe-4ab3-90a5-bdab689d05c9,bulgarian_split_squat,Sentadilla Búlgara,dumbbell,2,False,False,glute_max,stretch,low_external,mid-range,squat,primary_accessory,high,knee;hip;ankle,single_leg_squat_glute,quads;hamstrings,Lunge/split-squat pattern is not explicit in allowed taxonomy; mapped to squat.
1a3ff504-1e57-4447-9f63-4711a916ca02,cable_adduction,Aducción en Polea,cable,11,False,False,adductors,stretch,low_external,stretch,hip_adduction,isolation,low,hip,hip_adduction_adductors,glutes,
4335214b-87c0-4dc5-8286-539eac40d69a,cable_crunch,Crunch en Polea Alta,cable,8,False,False,abs_superior,shortened,high_external,shortened,core_flexion,isolation,low,lumbar;hip,core_flexion_abs,,
1ec42423-611e-4f7d-80d0-f440a023a1a7,cable_glute_abduction,Abducción de Cadera en Polea (Glúteo Medio),cable,12,False,False,glute_medius,shortened,high_external,mid-range,hip_abduction,isolation,low,hip,hip_abduction_abductors,glutes,
a350a585-5a87-4b24-a01f-a2ad0230285a,cable_kickback,Patada de Glúteo en Polea,cable,2,False,False,glute_max,shortened,low_external,mid-range,hip_thrust,isolation,low,hip;lumbar,hip_extension_glutes,hamstrings,Hip extension/kickback has no explicit allowed pattern; mapped to hip_thrust family.
103518fa-3d5d-4fb6-b57b-f3e31d65ec49,cable_lateral_raise,Elevaciones Laterales en Polea,cable,5,False,False,shoulders_lateral,stretch,low_external,stretch,shoulder_abduction,isolation,low,shoulder,shoulder_abduction_raise,,
d35a59c4-4f65-4057-8839-8777e80d1a4a,calf_raise_donkey,Donkey Calf Raise,machine,10,False,False,calves,stretch,low_external,stretch,calf_raise,isolation,medium,ankle;lumbar,calf_raise,hamstrings,Lumbar/hip hinge position may matter; keep medium fatigue.
1483a73a-c245-428e-9eb0-d0efdc65f1a3,calf_raise_seated,Elevación de Talón Sentado,machine,10,False,False,calves,stretch,high_external,mid-range,calf_raise,isolation,low,ankle,calf_raise,,
31056f23-c263-44f1-9cf3-168646acafae,calf_raise_standing,Elevación de Talón de Pie,machine,10,False,False,calves,stretch,high_external,mid-range,calf_raise,isolation,low,ankle,calf_raise,,
53f7b369-c35c-4c52-b580-c4f691f70eb3,crunch_machine,Crunch en Máquina,machine,8,False,False,abs_superior,shortened,high_external,mid-range,core_flexion,isolation,low,lumbar;hip,core_flexion_abs,,
0e3a2df9-133c-48e6-a32e-fde73f991708,db_overhead_press,Press Militar con Mancuerna,dumbbell,5,False,False,shoulders_front,mid-range,low_external,mid-range,vertical_push,anchor,medium,shoulder;elbow;lumbar,vertical_push_shoulders,triceps;chest,
98840896-5625-4b61-a112-f210b9cecca0,deficit_reverse_lunge,Zancada Atrás con Déficit (Enfoque Glúteo),dumbbell,2,False,False,glute_max,,low_external,mid-range,squat,primary_accessory,medium,knee;hip;ankle,single_leg_squat_glute,quads;hamstrings,Reverse lunge pattern is not explicit in allowed taxonomy; mapped to squat.
c3f1fd53-d20c-4e7c-b380-1e19c22deaf9,dumbbell_rdl,Peso Muerto Rumano (Mancuernas),dumbbell,9,False,False,hamstrings,stretch,low_external,mid-range,hinge,primary_accessory,high,hip;lumbar;ankle,hinge_hamstrings,glutes,
e6396b2f-b119-4fc3-8944-88dba973b1e6,face_pull,Face Pull (Hombro Posterior),cable,5,False,False,rear_delt,shortened,high_external,mid-range,rear_delt,isolation,low,shoulder;elbow,rear_delt_pull,back;shoulders,
912ce344-f451-4231-97e6-8349f8cc950c,fire_hydrant_band,Fire Hydrants con Banda,other,12,False,False,glute_medius,,low_external,mid-range,hip_abduction,isolation,low,hip,hip_abduction_abductors,glutes,Equipment_type is other; exercise is treated as band/bodyweight abduction.
86cd14e8-5320-445b-8fc9-2d140d1dc27d,glute_focused_leg_press,Prensa de Piernas (Pies Altos para Glúteo),machine,2,False,False,glute_max,,high_external,mid-range,squat,primary_accessory,high,knee;hip;ankle,leg_press_glute,quads;hamstrings,Leg press pattern mapped to squat.
e8507710-0123-4dd9-abfd-7661901d090f,goblet_squat,Sentadilla Goblet,dumbbell,1,True,False,quads,mid-range,low_external,mid-range,squat,anchor,medium,knee;hip;lumbar;ankle,squat_quad_glute,glutes;hamstrings,
45adc9e9-18b7-4097-b6d6-e1e6268d81d4,hack_squat,Sentadilla Hack,machine,1,True,False,quads,stretch,high_external,stretch,squat,anchor,high,knee;hip;ankle,squat_quad_glute,glutes;hamstrings,
85e023d0-9502-4a56-9ec4-086285640a22,hammer_curl,Curl Martillo,dumbbell,6,False,False,biceps,mid-range,low_external,mid-range,elbow_flexion,isolation,low,elbow;wrist,biceps_curl,forearms,
b317734f-71fb-41fa-9e84-b2dee5210c07,hanging_leg_raise,Elevación de Piernas Colgado,bodyweight,8,False,False,abs_inferior,stretch,low_external,stretch,core_flexion,isolation,medium,lumbar;hip;shoulder,core_flexion_abs,forearms,
3855667b-a44a-4743-bb69-5d575a235825,hip_thrust,Hip Thrust,barbell,2,False,False,glute_max,shortened,low_external,mid-range,hip_thrust,anchor,high,hip;lumbar,hip_thrust_glutes,hamstrings,
f77907b0-944d-4398-93ae-b0d003ea9c15,incline_bench_press,Press Inclinado con barra,barbell,3,False,False,chest_superior,mid-range,low_external,mid-range,horizontal_push,anchor,high,shoulder;elbow;wrist,incline_press_chest,triceps;shoulders,
523923da-6e95-40ca-a6cf-80cd9ec691bd,incline_cable_fly,Aperturas Inclinadas en Polea (Pecho Superior),cable,3,False,False,chest_superior,,low_external,mid-range,horizontal_push,isolation,low,shoulder;elbow,chest_fly,shoulders,Fly pattern is not explicit in allowed taxonomy; mapped to horizontal_push.
e31a283d-15b2-4998-ac18-616f8361a194,incline_dumbbell_press,Press Inclinado (Pecho Superior),dumbbell,3,False,False,chest_superior,stretch,low_external,mid-range,horizontal_push,anchor,medium,shoulder;elbow;wrist,incline_press_chest,triceps;shoulders,
4e5a417f-f83d-4b39-b633-a6df88e110ca,landmine_chest_press,Press Landmine (Pecho Superior),barbell,3,False,False,chest_superior,,low_external,mid-range,horizontal_push,primary_accessory,medium,shoulder;elbow;wrist,incline_press_chest,triceps;shoulders,Landmine press is angled; mapped to horizontal_push as chest-biased press.
3763ab99-d5ca-4810-897a-eab970c2ba59,lat_pulldown,Jalón al Pecho,machine,4,False,False,back_width,stretch,high_external,mid-range,vertical_pull,primary_accessory,medium,shoulder;elbow,vertical_pull_back,biceps,
ea2959c3-713b-4eaf-9cce-6d6920d51e89,lateral_raise,Elevaciones Laterales,dumbbell,5,False,False,shoulders_lateral,shortened,low_external,mid-range,shoulder_abduction,isolation,low,shoulder,shoulder_abduction_raise,,
18ebb76c-b5b6-430f-bddd-17215ef87c8a,leg_extension,Extensión de Piernas,machine,1,True,False,quads,shortened,high_external,shortened,knee_extension,isolation,low,knee,knee_extension_quads,,
25832665-ef18-492d-b7d3-6238f937f139,leg_press,Prensa de Piernas,machine,1,True,True,quads,stretch,high_external,mid-range,squat,anchor,high,knee;hip;ankle,leg_press_quads,glutes;hamstrings,Leg press pattern mapped to squat.
85a23eb5-f86d-4fa2-87c5-48bfc7f48f86,leg_raises,Elevación de Piernas (L-Sit),bodyweight,8,False,False,abs_inferior,stretch,low_external,mid-range,core_flexion,isolation,medium,lumbar;hip,core_flexion_abs,,
18e94bda-8dc9-45f2-8c11-ee3f55e8d694,low_cable_fly,Aperturas Polea Baja (Pecho Superior),cable,3,False,False,chest_superior,shortened,high_external,mid-range,horizontal_push,isolation,low,shoulder;elbow,chest_fly,shoulders,Fly pattern is not explicit in allowed taxonomy; mapped to horizontal_push.
