profile_id,sex,experience,days_available,height_bucket_cm,weight_bucket_kg,bmi_bucket,ratio_type,ratio_gap_bucket,day_index,day_label,exercise_order,exercise_name,muscle_codes,sets,rep_min,rep_max,rir_min,rir_max,rest_seconds
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,1,Empuje,1,Press Inclinado (Pecho Superior),chest,3,6,8,0,1,180
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,1,Empuje,2,Aperturas Polea Baja (Pecho Superior),chest,3,10,15,1,2,120
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,1,Empuje,3,Elevaciones Laterales en Polea,shoulders,3,10,15,1,2,120
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,1,Empuje,4,Press Militar con Barra,shoulders,3,6,8,0,1,180
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,1,Empuje,5,Extensión Tríceps tras nuca,triceps,3,10,12,0,0,120
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,2,Pierna,1,Prensa de Piernas,quads,4,6,10,0,1,180
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,2,Pierna,2,Step Up (Enfoque Glúteo),glutes,3,6,10,0,1,180
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,2,Pierna,3,Peso Muerto Rumano (Mancuernas),hamstrings,3,6,10,0,1,180
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,2,Pierna,4,Elevación de Talón Sentado,calves,3,12,15,0,0,120
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,2,Pierna,5,Aducción en Polea,adductors,3,12,15,0,0,120
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,2,Pierna,6,Abducción de Cadera en Polea (Glúteo Medio),abductors,3,10,12,0,0,120
profile_c8b6dd199081,male,Novato,6,175-179cm,80-84kg,25_29_9,golden_ratio,moderate,3,Tracción,1,Jalón al Pecho,back,3,6,8,0,1,180
